rho,mu_p,char_height_px,mean_cer,mean_char_acc,n_eval,qe_total,mtf_nyquist,aperture_f50_cpp
0.1,4,8,0.9316667000000001,0.06833330000000001,50,0.085,0.959381,1.907975
0.1,16,8,0.9161111400000002,0.08388886000000001,50,0.085,0.959381,1.907975
0.1,64,8,0.6755555200000001,0.32444448000000004,50,0.085,0.959381,1.907975
0.1,256,8,0.23722218,0.7627778200000002,50,0.085,0.959381,1.907975
0.1,1024,8,0.21944438,0.7805556200000001,50,0.085,0.959381,1.907975
0.1,4096,8,0.20444442000000002,0.7955555799999999,50,0.085,0.959381,1.907975
0.1,16384,8,0.21222218000000004,0.7877778200000002,50,0.085,0.959381,1.907975
0.1,65536,8,0.20944442000000002,0.7905555800000001,50,0.085,0.959381,1.907975
0.2,4,8,0.9166666999999998,0.0833333,50,0.17,0.919759,1.349142
0.2,16,8,0.87722222,0.12277778000000002,50,0.17,0.919759,1.349142
0.2,64,8,0.62777774,0.37222225999999997,50,0.17,0.919759,1.349142
0.2,256,8,0.15055554,0.84944446,50,0.17,0.919759,1.349142
0.2,1024,8,0.18333328000000002,0.8166667200000001,50,0.17,0.919759,1.349142
0.2,4096,8,0.17388884000000004,0.8261111600000001,50,0.17,0.919759,1.349142
0.2,16384,8,0.15944434,0.84055566,50,0.17,0.919759,1.349142
0.2,65536,8,0.16111108000000002,0.83888892,50,0.17,0.919759,1.349142
0.3,4,8,0.9094444999999999,0.0905555,50,0.255,0.881116,1.10157
0.3,16,8,0.77,0.23,50,0.255,0.881116,1.10157
0.3,64,8,0.5783332999999999,0.42166670000000006,50,0.255,0.881116,1.10157
0.3,256,8,0.1666667,0.8333333,50,0.255,0.881116,1.10157
0.3,1024,8,0.1361111,0.8638889000000001,50,0.255,0.881116,1.10157
0.3,4096,8,0.12944436,0.8705556400000001,50,0.255,0.881116,1.10157
0.3,16384,8,0.12555544000000002,0.87444456,50,0.255,0.881116,1.10157
0.3,65536,8,0.12222218000000001,0.87777782,50,0.255,0.881116,1.10157
0.4,4,8,0.9205556000000001,0.0794444,50,0.34,0.843436,0.953987
0.4,16,8,0.6916666199999999,0.30833338,50,0.34,0.843436,0.953987
0.4,64,8,0.23388887999999997,0.76611112,50,0.34,0.843436,0.953987
0.4,256,8,0.15111108,0.8488889199999999,50,0.34,0.843436,0.953987
0.4,1024,8,0.11944442000000002,0.8805555799999999,50,0.34,0.843436,0.953987
0.4,4096,8,0.11611109999999998,0.8838888999999999,50,0.34,0.843436,0.953987
0.4,16384,8,0.11055556,0.8894444399999998,50,0.34,0.843436,0.953987
0.4,65536,8,0.10722221999999998,0.8927777799999999,50,0.34,0.843436,0.953987
0.5,4,8,0.91222228,0.08777772000000002,50,0.425,0.8067,0.853272
0.5,16,8,0.7316666799999999,0.26833332000000004,50,0.425,0.8067,0.853272
0.5,64,8,0.19999998000000002,0.8000000200000001,50,0.425,0.8067,0.853272
0.5,256,8,0.13111112,0.86888888,50,0.425,0.8067,0.853272
0.5,1024,8,0.11055548,0.88944452,50,0.425,0.8067,0.853272
0.5,4096,8,0.09555544,0.9044445600000001,50,0.425,0.8067,0.853272
0.5,16384,8,0.09888884,0.9011111599999998,50,0.425,0.8067,0.853272
0.5,65536,8,0.09444435999999999,0.90555564,50,0.425,0.8067,0.853272
0.6,4,8,0.91722226,0.08277774,50,0.51,0.770893,0.778927
0.6,16,8,0.7188888999999999,0.2811111,50,0.51,0.770893,0.778927
0.6,64,8,0.16111112000000002,0.8388888800000001,50,0.51,0.770893,0.778927
0.6,256,8,0.12388884000000001,0.87611116,50,0.51,0.770893,0.778927
0.6,1024,8,0.10055548000000002,0.89944452,50,0.51,0.770893,0.778927
0.6,4096,8,0.09499996000000001,0.9050000399999999,50,0.51,0.770893,0.778927
0.6,16384,8,0.09499988,0.90500012,50,0.51,0.770893,0.778927
0.6,65536,8,0.0944444,0.9055555999999999,50,0.51,0.770893,0.778927
0.7,4,8,0.89277782,0.10722218000000001,50,0.595,0.735998,0.721147
0.7,16,8,0.7577777599999999,0.24222223999999998,50,0.595,0.735998,0.721147
0.7,64,8,0.13555548,0.8644445199999999,50,0.595,0.735998,0.721147
0.7,256,8,0.11333325999999999,0.88666674,50,0.595,0.735998,0.721147
0.7,1024,8,0.09944442000000002,0.9005555799999999,50,0.595,0.735998,0.721147
0.7,4096,8,0.08888882000000001,0.91111118,50,0.595,0.735998,0.721147
0.7,16384,8,0.08555554000000001,0.91444446,50,0.595,0.735998,0.721147
0.7,65536,8,0.0816666,0.9183334,50,0.595,0.735998,0.721147
0.8,4,8,0.8894445400000001,0.11055546,50,0.68,0.701998,0.674571
0.8,16,8,0.64722218,0.35277782,50,0.68,0.701998,0.674571
0.8,64,8,0.1216667,0.8783332999999999,50,0.68,0.701998,0.674571
0.8,256,8,0.10055551999999998,0.89944448,50,0.68,0.701998,0.674571
0.8,1024,8,0.0866666,0.9133334000000001,50,0.68,0.701998,0.674571
0.8,4096,8,0.08388888,0.91611112,50,0.68,0.701998,0.674571
0.8,16384,8,0.0838889,0.9161111,50,0.68,0.701998,0.674571
0.8,65536,8,0.08722219999999999,0.9127777999999998,50,0.68,0.701998,0.674571
0.9,4,8,0.8866666999999999,0.11333330000000003,50,0.765,0.668877,0.635992
0.9,16,8,0.63277776,0.36722224000000003,50,0.765,0.668877,0.635992
0.9,64,8,0.10833331999999998,0.89166668,50,0.765,0.668877,0.635992
0.9,256,8,0.09944442,0.90055558,50,0.765,0.668877,0.635992
0.9,1024,8,0.08499992,0.91500008,50,0.765,0.668877,0.635992
0.9,4096,8,0.07611114000000001,0.9238888599999998,50,0.765,0.668877,0.635992
0.9,16384,8,0.07611114000000002,0.9238888599999998,50,0.765,0.668877,0.635992
0.9,65536,8,0.07500010000000001,0.9249999,50,0.765,0.668877,0.635992
1.0,4,8,0.8827778399999999,0.11722215999999999,50,0.85,0.63662,0.603355
1.0,16,8,0.5688889,0.43111109999999997,50,0.85,0.63662,0.603355
1.0,64,8,0.11055552000000002,0.88944448,50,0.85,0.63662,0.603355
1.0,256,8,0.09444438,0.9055556199999999,50,0.85,0.63662,0.603355
1.0,1024,8,0.07611122,0.9238887799999997,50,0.85,0.63662,0.603355
1.0,4096,8,0.08,0.92,50,0.85,0.63662,0.603355
1.0,16384,8,0.07833334,0.92166666,50,0.85,0.63662,0.603355
1.0,65536,8,0.07833334,0.92166666,50,0.85,0.63662,0.603355
