rho,mu_p,char_height_px,mean_cer,mean_char_acc,n_eval,qe_total,mtf_nyquist,aperture_f50_cpp
0.1,4,8,0.9339394599999999,0.06606054,50,0.085,0.959381,1.907975
0.1,5,8,0.93818188,0.06181812,50,0.085,0.959381,1.907975
0.1,6,8,0.9466667200000001,0.05333328,50,0.085,0.959381,1.907975
0.1,7,8,0.9333334,0.0666666,50,0.085,0.959381,1.907975
0.1,8,8,0.91939402,0.08060598000000001,50,0.085,0.959381,1.907975
0.1,10,8,0.91090918,0.08909082,50,0.085,0.959381,1.907975
0.1,11,8,0.90727282,0.09272718,50,0.085,0.959381,1.907975
0.1,13,8,0.91939402,0.08060598000000001,50,0.085,0.959381,1.907975
0.1,16,8,0.9133334199999998,0.08666658,50,0.085,0.959381,1.907975
0.1,19,8,0.9066667600000001,0.09333324000000001,50,0.085,0.959381,1.907975
0.1,23,8,0.89212132,0.10787867999999999,50,0.085,0.959381,1.907975
0.1,27,8,0.8969698000000002,0.1030302,50,0.085,0.959381,1.907975
0.1,32,8,0.88848496,0.11151504,50,0.085,0.959381,1.907975
0.1,38,8,0.83090926,0.16909074000000002,50,0.085,0.959381,1.907975
0.1,45,8,0.7696972,0.23030279999999997,50,0.085,0.959381,1.907975
0.1,54,8,0.6690912200000001,0.33090877999999996,50,0.085,0.959381,1.907975
0.1,64,8,0.6551518399999999,0.34484816,50,0.085,0.959381,1.907975
0.1,76,8,0.6521212,0.3478788000000001,50,0.085,0.959381,1.907975
0.1,91,8,0.70121204,0.29878796,50,0.085,0.959381,1.907975
0.1,108,8,0.6569695,0.34303050000000007,50,0.085,0.959381,1.907975
0.1,128,8,0.6224240000000001,0.37757599999999997,50,0.085,0.959381,1.907975
0.1,152,8,0.70969682,0.29030318,50,0.085,0.959381,1.907975
0.1,181,8,0.5939392,0.40606080000000006,50,0.085,0.959381,1.907975
0.1,215,8,0.37999974000000003,0.62000026,50,0.085,0.959381,1.907975
0.1,256,8,0.27030276000000003,0.7296972399999998,50,0.085,0.959381,1.907975
0.2,4,8,0.92060614,0.07939385999999998,50,0.17,0.919759,1.349142
0.2,5,8,0.91878796,0.08121204,50,0.17,0.919759,1.349142
0.2,6,8,0.91454554,0.08545446,50,0.17,0.919759,1.349142
0.2,7,8,0.9200000800000001,0.07999992,50,0.17,0.919759,1.349142
0.2,8,8,0.9060607,0.0939393,50,0.17,0.919759,1.349142
0.2,10,8,0.9060607,0.0939393,50,0.17,0.919759,1.349142
0.2,11,8,0.9096970600000001,0.09030294000000001,50,0.17,0.919759,1.349142
0.2,13,8,0.9066667599999999,0.09333324000000001,50,0.17,0.919759,1.349142
0.2,16,8,0.87818194,0.12181806,50,0.17,0.919759,1.349142
0.2,19,8,0.84787894,0.15212106,50,0.17,0.919759,1.349142
0.2,23,8,0.77636386,0.22363613999999998,50,0.17,0.919759,1.349142
0.2,27,8,0.73515178,0.26484822,50,0.17,0.919759,1.349142
0.2,32,8,0.6733335999999999,0.3266664,50,0.17,0.919759,1.349142
0.2,38,8,0.6684850400000001,0.33151496,50,0.17,0.919759,1.349142
0.2,45,8,0.6660605199999999,0.33393948,50,0.17,0.919759,1.349142
0.2,54,8,0.7636362800000001,0.23636372000000003,50,0.17,0.919759,1.349142
0.2,64,8,0.6490907000000001,0.3509093,50,0.17,0.919759,1.349142
0.2,76,8,0.6812119400000001,0.31878806,50,0.17,0.919759,1.349142
0.2,91,8,0.6418180200000001,0.35818198,50,0.17,0.919759,1.349142
0.2,108,8,0.352727,0.647273,50,0.17,0.919759,1.349142
0.2,128,8,0.26909064,0.7309093599999998,50,0.17,0.919759,1.349142
0.2,152,8,0.25090883999999997,0.74909116,50,0.17,0.919759,1.349142
0.2,181,8,0.21454524,0.7854547599999998,50,0.17,0.919759,1.349142
0.2,215,8,0.19939374,0.8006062599999999,50,0.17,0.919759,1.349142
0.2,256,8,0.17090892,0.8290910799999999,50,0.17,0.919759,1.349142
0.3,4,8,0.92303038,0.07696962000000002,50,0.255,0.881116,1.10157
0.3,5,8,0.9254546199999999,0.07454538,50,0.255,0.881116,1.10157
0.3,6,8,0.90424252,0.09575748,50,0.255,0.881116,1.10157
0.3,7,8,0.9242425,0.0757575,50,0.255,0.881116,1.10157
0.3,8,8,0.9042425199999999,0.09575748,50,0.255,0.881116,1.10157
0.3,10,8,0.8854546600000001,0.11454534,50,0.255,0.881116,1.10157
0.3,11,8,0.86121226,0.13878774,50,0.255,0.881116,1.10157
0.3,13,8,0.84727288,0.15272712,50,0.255,0.881116,1.10157
0.3,16,8,0.7757577999999999,0.22424219999999997,50,0.255,0.881116,1.10157
0.3,19,8,0.7048487599999999,0.29515124,50,0.255,0.881116,1.10157
0.3,23,8,0.6648487799999998,0.33515121999999997,50,0.255,0.881116,1.10157
0.3,27,8,0.6636364599999999,0.33636353999999996,50,0.255,0.881116,1.10157
0.3,32,8,0.7012120199999999,0.29878798,50,0.255,0.881116,1.10157
0.3,38,8,0.59575736,0.40424264,50,0.255,0.881116,1.10157
0.3,45,8,0.69212104,0.30787896,50,0.255,0.881116,1.10157
0.3,54,8,0.6266664800000001,0.37333352000000003,50,0.255,0.881116,1.10157
0.3,64,8,0.65393924,0.34606076,50,0.255,0.881116,1.10157
0.3,76,8,0.3266664,0.6733336,50,0.255,0.881116,1.10157
0.3,91,8,0.27878761999999996,0.7212123799999999,50,0.255,0.881116,1.10157
0.3,108,8,0.23696946,0.7630305399999997,50,0.255,0.881116,1.10157
0.3,128,8,0.21090888,0.7890911199999999,50,0.255,0.881116,1.10157
0.3,152,8,0.18606042000000003,0.8139395799999999,50,0.255,0.881116,1.10157
0.3,181,8,0.17333316,0.8266668399999999,50,0.255,0.881116,1.10157
0.3,215,8,0.16424226,0.8357577399999998,50,0.255,0.881116,1.10157
0.3,256,8,0.17696952,0.8230304799999999,50,0.255,0.881116,1.10157
0.4,4,8,0.92242432,0.07757568,50,0.34,0.843436,0.953987
0.4,5,8,0.89575768,0.10424232,50,0.34,0.843436,0.953987
0.4,6,8,0.9090910000000001,0.09090899999999999,50,0.34,0.843436,0.953987
0.4,7,8,0.8939394999999999,0.1060605,50,0.34,0.843436,0.953987
0.4,8,8,0.8896970799999999,0.11030292,50,0.34,0.843436,0.953987
0.4,10,8,0.8569698399999999,0.14303016,50,0.34,0.843436,0.953987
0.4,11,8,0.8036365599999999,0.19636344,50,0.34,0.843436,0.953987
0.4,13,8,0.7727274999999999,0.2272725,50,0.34,0.843436,0.953987
0.4,16,8,0.6878790799999999,0.31212092,50,0.34,0.843436,0.953987
0.4,19,8,0.72666686,0.27333314000000003,50,0.34,0.843436,0.953987
0.4,23,8,0.6242423599999999,0.37575764000000006,50,0.34,0.843436,0.953987
0.4,27,8,0.6315149999999999,0.368485,50,0.34,0.843436,0.953987
0.4,32,8,0.6242422000000001,0.37575780000000003,50,0.34,0.843436,0.953987
0.4,38,8,0.70666652,0.29333348,50,0.34,0.843436,0.953987
0.4,45,8,0.6115149599999999,0.38848504,50,0.34,0.843436,0.953987
0.4,54,8,0.41333310000000006,0.5866669,50,0.34,0.843436,0.953987
0.4,64,8,0.31151488,0.68848512,50,0.34,0.843436,0.953987
0.4,76,8,0.25575732,0.7442426799999998,50,0.34,0.843436,0.953987
0.4,91,8,0.22181795999999998,0.7781820399999998,50,0.34,0.843436,0.953987
0.4,108,8,0.18424224000000003,0.8157577599999999,50,0.34,0.843436,0.953987
0.4,128,8,0.18303012000000002,0.8169698799999999,50,0.34,0.843436,0.953987
0.4,152,8,0.15878772000000002,0.84121228,50,0.34,0.843436,0.953987
0.4,181,8,0.17636346,0.82363654,50,0.34,0.843436,0.953987
0.4,215,8,0.16727256000000001,0.8327274399999999,50,0.34,0.843436,0.953987
0.4,256,8,0.18242406000000003,0.81757594,50,0.34,0.843436,0.953987
0.5,4,8,0.9066667600000001,0.09333324000000001,50,0.425,0.8067,0.853272
0.5,5,8,0.89939404,0.10060596000000001,50,0.425,0.8067,0.853272
0.5,6,8,0.8878788999999999,0.11212109999999999,50,0.425,0.8067,0.853272
0.5,7,8,0.8800001199999999,0.11999988000000002,50,0.425,0.8067,0.853272
0.5,8,8,0.84181834,0.15818166,50,0.425,0.8067,0.853272
0.5,10,8,0.7854547599999999,0.21454524,50,0.425,0.8067,0.853272
0.5,11,8,0.7436366199999999,0.25636338000000003,50,0.425,0.8067,0.853272
0.5,13,8,0.7333335999999998,0.2666664,50,0.425,0.8067,0.853272
0.5,16,8,0.6406062800000001,0.35939371999999997,50,0.425,0.8067,0.853272
0.5,19,8,0.7351515599999999,0.26484844,50,0.425,0.8067,0.853272
0.5,23,8,0.6975756599999999,0.30242434,50,0.425,0.8067,0.853272
0.5,27,8,0.63090888,0.36909112,50,0.425,0.8067,0.853272
0.5,32,8,0.6133331200000001,0.38666687999999994,50,0.425,0.8067,0.853272
0.5,38,8,0.65393924,0.34606076,50,0.425,0.8067,0.853272
0.5,45,8,0.422424,0.5775760000000001,50,0.425,0.8067,0.853272
0.5,54,8,0.27636338000000005,0.72363662,50,0.425,0.8067,0.853272
0.5,64,8,0.24242399999999997,0.7575759999999998,50,0.425,0.8067,0.853272
0.5,76,8,0.20848464,0.7915153599999999,50,0.425,0.8067,0.853272
0.5,91,8,0.19151496,0.8084850399999999,50,0.425,0.8067,0.853272
0.5,108,8,0.16848468,0.8315153199999998,50,0.425,0.8067,0.853272
0.5,128,8,0.17212104,0.8278789599999999,50,0.425,0.8067,0.853272
0.5,152,8,0.16242408,0.8375759199999999,50,0.425,0.8067,0.853272
0.5,181,8,0.16727256000000001,0.8327274399999999,50,0.425,0.8067,0.853272
0.5,215,8,0.17212104,0.8278789599999999,50,0.425,0.8067,0.853272
0.5,256,8,0.16121196000000002,0.8387880399999998,50,0.425,0.8067,0.853272
0.6,4,8,0.9000000999999999,0.0999999,50,0.51,0.770893,0.778927
0.6,5,8,0.89212132,0.10787867999999999,50,0.51,0.770893,0.778927
0.6,6,8,0.86484862,0.13515138000000002,50,0.51,0.770893,0.778927
0.6,7,8,0.8460607599999999,0.15393924,50,0.51,0.770893,0.778927
0.6,8,8,0.8048486799999999,0.19515132000000002,50,0.51,0.770893,0.778927
0.6,10,8,0.7375760199999999,0.26242398,50,0.51,0.770893,0.778927
0.6,11,8,0.70242454,0.29757545999999996,50,0.51,0.770893,0.778927
0.6,13,8,0.7193941199999999,0.28060588,50,0.51,0.770893,0.778927
0.6,16,8,0.6503030200000001,0.34969698,50,0.51,0.770893,0.778927
0.6,19,8,0.6169695000000001,0.3830305,50,0.51,0.770893,0.778927
0.6,23,8,0.6921210600000001,0.30787894000000005,50,0.51,0.770893,0.778927
