rho,mu_p,char_height_px,mean_cer,mean_char_acc,n_eval,qe_total,mtf_nyquist,aperture_f50_cpp
0.1,4,8,0.94909096,0.05090904,50,0.085,0.959381,1.907975
0.1,6,8,0.92484856,0.07515144,50,0.085,0.959381,1.907975
0.1,8,8,0.92181826,0.07818174,50,0.085,0.959381,1.907975
0.1,11,8,0.9163637200000001,0.08363628000000001,50,0.085,0.959381,1.907975
0.1,16,8,0.9066667599999999,0.09333324000000001,50,0.085,0.959381,1.907975
0.1,23,8,0.91636372,0.08363628000000001,50,0.085,0.959381,1.907975
0.1,32,8,0.8600001399999999,0.13999986,50,0.085,0.959381,1.907975
0.1,45,8,0.78000022,0.21999977999999998,50,0.085,0.959381,1.907975
0.1,64,8,0.6200003,0.3799997,50,0.085,0.959381,1.907975
0.2,4,8,0.93454552,0.06545448,50,0.17,0.919759,1.349142
0.2,6,8,0.91090918,0.08909082,50,0.17,0.919759,1.349142
0.2,8,8,0.8957576800000001,0.10424232,50,0.17,0.919759,1.349142
0.2,11,8,0.90727282,0.09272718,50,0.17,0.919759,1.349142
0.2,16,8,0.87151528,0.12848472,50,0.17,0.919759,1.349142
0.2,23,8,0.7739396199999998,0.22606038,50,0.17,0.919759,1.349142
0.2,32,8,0.6672730399999999,0.33272696,50,0.17,0.919759,1.349142
0.2,45,8,0.6787878599999999,0.32121214000000003,50,0.17,0.919759,1.349142
0.2,64,8,0.52727246,0.47272754,50,0.17,0.919759,1.349142
0.3,4,8,0.9072728199999999,0.09272718,50,0.255,0.881116,1.10157
0.3,6,8,0.9078788799999999,0.09212112000000001,50,0.255,0.881116,1.10157
0.3,8,8,0.8915152599999999,0.10848474,50,0.255,0.881116,1.10157
0.3,11,8,0.8696970999999999,0.1303029,50,0.255,0.881116,1.10157
0.3,16,8,0.7781820400000001,0.22181795999999998,50,0.255,0.881116,1.10157
0.3,23,8,0.6575759999999999,0.34242399999999995,50,0.255,0.881116,1.10157
0.3,32,8,0.60363628,0.3963637199999999,50,0.255,0.881116,1.10157
0.3,45,8,0.7145453,0.2854547,50,0.255,0.881116,1.10157
0.3,64,8,0.58181798,0.41818202,50,0.255,0.881116,1.10157
0.4,4,8,0.9169697800000001,0.08303022,50,0.34,0.843436,0.953987
