rho,mu_p,char_height_px,mean_cer,mean_char_acc,n_eval,qe_total,mtf_nyquist,aperture_f50_cpp
0.1,16384,1,0.9988888800000001,0.00111112,25,0.085,0.959381,1.907975
0.1,16384,2,0.95888868,0.04111132000000001,25,0.085,0.959381,1.907975
0.1,16384,3,0.9377776400000001,0.062222360000000004,25,0.085,0.959381,1.907975
0.1,16384,4,0.8533334,0.1466666,25,0.085,0.959381,1.907975
0.2,16384,1,0.9977777600000001,0.00222224,25,0.17,0.919759,1.349142
0.2,16384,2,0.9655553200000001,0.03444468,25,0.17,0.919759,1.349142
0.2,16384,3,0.92999988,0.07000012,25,0.17,0.919759,1.349142
0.2,16384,4,0.8411112,0.1588888,25,0.17,0.919759,1.349142
0.3,16384,1,0.99555552,0.00444448,25,0.255,0.881116,1.10157
0.3,16384,2,0.96555532,0.03444468,25,0.255,0.881116,1.10157
0.3,16384,3,0.92555548,0.07444452,25,0.255,0.881116,1.10157
0.3,16384,4,0.8122222799999999,0.18777772000000004,25,0.255,0.881116,1.10157
0.4,16384,1,1.0,0.0,25,0.34,0.843436,0.953987
0.4,16384,2,0.9622220399999999,0.03777796,25,0.34,0.843436,0.953987
0.4,16384,3,0.9244444,0.0755556,25,0.34,0.843436,0.953987
0.4,16384,4,0.79111124,0.20888876,25,0.34,0.843436,0.953987
0.5,16384,1,1.0,0.0,25,0.425,0.8067,0.853272
0.5,16384,2,0.97333328,0.026666719999999998,25,0.425,0.8067,0.853272
0.5,16384,3,0.9099999599999999,0.09000004000000002,25,0.425,0.8067,0.853272
0.5,16384,4,0.76888884,0.23111116000000004,25,0.425,0.8067,0.853272
0.6,16384,1,0.9966666399999999,0.00333336,25,0.51,0.770893,0.778927
0.6,16384,2,0.9733332399999999,0.02666676,25,0.51,0.770893,0.778927
0.6,16384,3,0.8966668,0.1033332,25,0.51,0.770893,0.778927
0.6,16384,4,0.7522221599999999,0.24777784,25,0.51,0.770893,0.778927
0.7,16384,1,0.99555552,0.00444448,25,0.595,0.735998,0.721147
0.7,16384,2,0.9811110399999999,0.018888960000000003,25,0.595,0.735998,0.721147
0.7,16384,3,0.93888892,0.06111108,25,0.595,0.735998,0.721147
0.7,16384,4,0.7177777199999998,0.28222228,25,0.595,0.735998,0.721147
0.8,16384,1,0.9988888800000001,0.00111112,25,0.68,0.701998,0.674571
0.8,16384,2,0.99333328,0.00666672,25,0.68,0.701998,0.674571
0.8,16384,3,0.94444452,0.05555548,25,0.68,0.701998,0.674571
0.8,16384,4,0.69111104,0.30888895999999993,25,0.68,0.701998,0.674571
0.9,16384,1,0.9988888800000001,0.00111112,25,0.765,0.668877,0.635992
0.9,16384,2,0.9944444,0.005555600000000001,25,0.765,0.668877,0.635992
0.9,16384,3,0.9666666,0.0333334,25,0.765,0.668877,0.635992
0.9,16384,4,0.66777776,0.33222223999999995,25,0.765,0.668877,0.635992
1.0,16384,1,1.0,0.0,25,0.85,0.63662,0.603355
1.0,16384,2,0.9966666399999999,0.00333336,25,0.85,0.63662,0.603355
1.0,16384,3,0.9788888399999999,0.02111116,25,0.85,0.63662,0.603355
1.0,16384,4,0.6599999599999999,0.34000004000000006,25,0.85,0.63662,0.603355
