rho,mu_p,char_height_px,mean_cer,mean_char_acc,n_eval,qe_total,mtf_nyquist,aperture_f50_cpp
0.1,1,1,1.0,0.0,25,0.085,0.959381,1.907975
0.1,1,2,0.996,0.004,25,0.085,0.959381,1.907975
0.1,1,3,0.972,0.027999999999999997,25,0.085,0.959381,1.907975
0.1,1,4,0.9279999999999999,0.07200000000000001,25,0.085,0.959381,1.907975
0.2,1,1,1.0,0.0,25,0.17,0.919759,1.349142
0.2,1,2,0.9840000000000001,0.016,25,0.17,0.919759,1.349142
0.2,1,3,0.9840000000000001,0.016,25,0.17,0.919759,1.349142
0.2,1,4,0.9280000000000002,0.07200000000000001,25,0.17,0.919759,1.349142
0.3,1,1,1.0,0.0,25,0.255,0.881116,1.10157
0.3,1,2,0.996,0.004,25,0.255,0.881116,1.10157
0.3,1,3,0.976,0.024,25,0.255,0.881116,1.10157
0.3,1,4,0.94,0.06,25,0.255,0.881116,1.10157
0.4,1,1,1.0,0.0,25,0.34,0.843436,0.953987
0.4,1,2,1.0,0.0,25,0.34,0.843436,0.953987
0.4,1,3,0.9840000000000001,0.016,25,0.34,0.843436,0.953987
0.4,1,4,0.9239999999999999,0.07600000000000001,25,0.34,0.843436,0.953987
0.5,1,1,1.0,0.0,25,0.425,0.8067,0.853272
0.5,1,2,0.996,0.004,25,0.425,0.8067,0.853272
0.5,1,3,0.98,0.02,25,0.425,0.8067,0.853272
0.5,1,4,0.9119999999999999,0.088,25,0.425,0.8067,0.853272
0.6,1,1,1.0,0.0,25,0.51,0.770893,0.778927
0.6,1,2,0.996,0.004,25,0.51,0.770893,0.778927
0.6,1,3,0.992,0.008,25,0.51,0.770893,0.778927
0.6,1,4,0.8919999999999999,0.10800000000000001,25,0.51,0.770893,0.778927
0.7,1,1,1.0,0.0,25,0.595,0.735998,0.721147
0.7,1,2,1.0,0.0,25,0.595,0.735998,0.721147
0.7,1,3,0.996,0.004,25,0.595,0.735998,0.721147
0.7,1,4,0.868,0.132,25,0.595,0.735998,0.721147
0.8,1,1,1.0,0.0,25,0.68,0.701998,0.674571
0.8,1,2,1.0,0.0,25,0.68,0.701998,0.674571
0.8,1,3,0.992,0.008,25,0.68,0.701998,0.674571
0.8,1,4,0.82,0.18000000000000005,25,0.68,0.701998,0.674571
0.9,1,1,1.0,0.0,25,0.765,0.668877,0.635992
0.9,1,2,1.0,0.0,25,0.765,0.668877,0.635992
0.9,1,3,0.992,0.008,25,0.765,0.668877,0.635992
0.9,1,4,0.84,0.16,25,0.765,0.668877,0.635992
1.0,1,1,1.0,0.0,25,0.85,0.63662,0.603355
1.0,1,2,0.996,0.004,25,0.85,0.63662,0.603355
1.0,1,3,0.996,0.004,25,0.85,0.63662,0.603355
1.0,1,4,0.8479999999999999,0.152,25,0.85,0.63662,0.603355
