rho,mu_p,char_height_px,mean_cer,mean_char_acc,n_eval,qe_total,mtf_nyquist,aperture_f50_cpp
0.1,1,1,1.0,0.0,4,0.085,0.959381,1.907975
0.1,1,2,1.0,0.0,4,0.085,0.959381,1.907975
0.2,1,1,1.0,0.0,4,0.17,0.919759,1.349142
0.2,1,2,0.975,0.025,4,0.17,0.919759,1.349142
0.3,1,1,1.0,0.0,4,0.255,0.881116,1.10157
0.3,1,2,1.0,0.0,4,0.255,0.881116,1.10157
0.4,1,1,1.0,0.0,4,0.34,0.843436,0.953987
0.4,1,2,1.0,0.0,4,0.34,0.843436,0.953987
0.5,1,1,1.0,0.0,4,0.425,0.8067,0.853272
0.5,1,2,1.0,0.0,4,0.425,0.8067,0.853272
0.6,1,1,1.0,0.0,4,0.51,0.770893,0.778927
0.6,1,2,1.0,0.0,4,0.51,0.770893,0.778927
0.7,1,1,1.0,0.0,4,0.595,0.735998,0.721147
0.7,1,2,1.0,0.0,4,0.595,0.735998,0.721147
0.8,1,1,1.0,0.0,4,0.68,0.701998,0.674571
0.8,1,2,1.0,0.0,4,0.68,0.701998,0.674571
0.9,1,1,1.0,0.0,4,0.765,0.668877,0.635992
0.9,1,2,1.0,0.0,4,0.765,0.668877,0.635992
1.0,1,1,1.0,0.0,4,0.85,0.63662,0.603355
1.0,1,2,1.0,0.0,4,0.85,0.63662,0.603355
