rho,mu_p,char_height_px,mean_cer,mean_char_acc,n_eval,qe_total,mtf_nyquist,aperture_f50_cpp
0.1,16,6,0.9134615,0.0865385,4,0.085,0.959381,1.907975
0.1,16,12,0.9230767500000001,0.07692325,4,0.085,0.959381,1.907975
0.1,128,6,1.0,0.0,4,0.085,0.959381,1.907975
0.1,128,12,0.56730775,0.43269225,4,0.085,0.959381,1.907975
0.1,2048,6,0.3653845,0.6346155,4,0.085,0.959381,1.907975
0.1,2048,12,0.0,1.0,4,0.085,0.959381,1.907975
0.2,16,6,0.89423075,0.10576925000000001,4,0.17,0.919759,1.349142
0.2,16,12,0.85576925,0.14423075000000002,4,0.17,0.919759,1.349142
0.2,128,6,0.480769,0.519231,4,0.17,0.919759,1.349142
0.2,128,12,0.028846500000000004,0.9711535,4,0.17,0.919759,1.349142
0.2,2048,6,0.16346175,0.83653825,4,0.17,0.919759,1.349142
0.2,2048,12,0.0,1.0,4,0.17,0.919759,1.349142
0.3,16,6,0.85576925,0.14423075000000002,4,0.255,0.881116,1.10157
0.3,16,12,0.74038475,0.25961524999999996,4,0.255,0.881116,1.10157
0.3,128,6,0.24038475000000004,0.75961525,4,0.255,0.881116,1.10157
0.3,128,12,0.028846250000000004,0.97115375,4,0.255,0.881116,1.10157
0.3,2048,6,0.1346155,0.8653845,4,0.255,0.881116,1.10157
0.3,2048,12,0.0,1.0,4,0.255,0.881116,1.10157
0.4,16,6,0.9134614999999999,0.0865385,4,0.34,0.843436,0.953987
0.4,16,12,0.375,0.625,4,0.34,0.843436,0.953987
0.4,128,6,0.23076925,0.76923075,4,0.34,0.843436,0.953987
0.4,128,12,0.0,1.0,4,0.34,0.843436,0.953987
0.4,2048,6,0.11538475000000001,0.8846152500000001,4,0.34,0.843436,0.953987
0.4,2048,12,0.0,1.0,4,0.34,0.843436,0.953987
0.5,16,6,0.76923075,0.23076924999999998,4,0.425,0.8067,0.853272
0.5,16,12,0.39423074999999996,0.60576925,4,0.425,0.8067,0.853272
0.5,128,6,0.144231,0.855769,4,0.425,0.8067,0.853272
0.5,128,12,0.0,1.0,4,0.425,0.8067,0.853272
0.5,2048,6,0.0865385,0.9134615,4,0.425,0.8067,0.853272
0.5,2048,12,0.0,1.0,4,0.425,0.8067,0.853272
0.6,16,6,0.8846155,0.1153845,4,0.51,0.770893,0.778927
0.6,16,12,0.7980769999999999,0.201923,4,0.51,0.770893,0.778927
0.6,128,6,0.11538475000000001,0.88461525,4,0.51,0.770893,0.778927
0.6,128,12,0.0,1.0,4,0.51,0.770893,0.778927
0.6,2048,6,0.0865385,0.9134615,4,0.51,0.770893,0.778927
0.6,2048,12,0.0,1.0,4,0.51,0.770893,0.778927
0.7,16,6,0.8269230000000001,0.173077,4,0.595,0.735998,0.721147
0.7,16,12,0.5384614999999999,0.46153849999999996,4,0.595,0.735998,0.721147
0.7,128,6,0.06730775,0.9326922500000001,4,0.595,0.735998,0.721147
0.7,128,12,0.0,1.0,4,0.595,0.735998,0.721147
0.7,2048,6,0.05769250000000001,0.9423075000000001,4,0.595,0.735998,0.721147
0.7,2048,12,0.0,1.0,4,0.595,0.735998,0.721147
0.8,16,6,0.7307695,0.2692305,4,0.68,0.701998,0.674571
0.8,16,12,0.7596155,0.2403845,4,0.68,0.701998,0.674571
0.8,128,6,0.12500025,0.8749997500000001,4,0.68,0.701998,0.674571
0.8,128,12,0.0,1.0,4,0.68,0.701998,0.674571
0.8,2048,6,0.0769235,0.9230765000000001,4,0.68,0.701998,0.674571
0.8,2048,12,0.0,1.0,4,0.68,0.701998,0.674571
0.9,16,6,0.798077,0.20192300000000002,4,0.765,0.668877,0.635992
0.9,16,12,0.30769225,0.69230775,4,0.765,0.668877,0.635992
0.9,128,6,0.067308,0.9326920000000001,4,0.765,0.668877,0.635992
0.9,128,12,0.0,1.0,4,0.765,0.668877,0.635992
0.9,2048,6,0.05769275,0.94230725,4,0.765,0.668877,0.635992
0.9,2048,12,0.0,1.0,4,0.765,0.668877,0.635992
1.0,16,6,0.85576925,0.14423075,4,0.85,0.63662,0.603355
1.0,16,12,0.548077,0.451923,4,0.85,0.63662,0.603355
1.0,128,6,0.1346155,0.8653845,4,0.85,0.63662,0.603355
1.0,128,12,0.0,1.0,4,0.85,0.63662,0.603355
1.0,2048,6,0.07692325000000001,0.9230767500000001,4,0.85,0.63662,0.603355
1.0,2048,12,0.0,1.0,4,0.85,0.63662,0.603355
