rho,mu_p,char_height_px,font_name,text,phase_x,phase_y,noise_repeat,qe_total,aperture_width_px,mtf_nyquist,aperture_f50_cpp,ocr_text,cer,char_acc
0.1,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,0,0,0.085,5.059644,0.959381,1.907975,DREAEORAEO,0.846154,0.153846
0.2,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,0,0,0.17,7.155418,0.919759,1.349142,,1.0,0.0
0.3,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,0,0,0.255,8.763561,0.881116,1.10157,,1.0,0.0
0.4,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,0,0,0.34,10.119289,0.843436,0.953987,ANEEBASROSMIRSEDOSES,0.807692,0.192308
0.5,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,0,0,0.425,11.313708,0.8067,0.853272,,1.0,0.0
0.6,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,0,0,0.51,12.393547,0.770893,0.778927,,1.0,0.0
0.7,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,0,0,0.595,13.38656,0.735998,0.721147,,1.0,0.0
0.8,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,0,0,0.68,14.310835,0.701998,0.674571,SQIRKCDZERASPNESERT,0.692308,0.307692
0.9,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,0,0,0.765,15.178933,0.668877,0.635992,RIRRTRDZICADSLEPWHGESOUNET,0.5,0.5
1.0,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,0,0,0.85,16.0,0.63662,0.603355,,1.0,0.0
0.1,128,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,0,0,0.085,5.059644,0.959381,1.907975,,1.0,0.0
0.2,128,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,0,0,0.17,7.155418,0.919759,1.349142,,1.0,0.0
0.3,128,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,0,0,0.255,8.763561,0.881116,1.10157,AORKYEDZICRAGLEMWHGESOUXGT,0.269231,0.730769
0.4,128,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,0,0,0.34,10.119289,0.843436,0.953987,VWINKFDZICRAGLPMWHCESOUXET,0.230769,0.769231
0.5,128,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,0,0,0.425,11.313708,0.8067,0.853272,VINKYFDZICRAQLEMWHOESOURET,0.192308,0.807692
0.6,128,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,0,0,0.51,12.393547,0.770893,0.778927,WJNKYFDZICRAGLPMWHGESOUXET,0.115385,0.884615
0.7,128,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,0,0,0.595,13.38656,0.735998,0.721147,WNKYFDZICRAQLPMWHGESOUXBT,0.076923,0.923077
0.8,128,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,0,0,0.68,14.310835,0.701998,0.674571,WINKYFOZICRAQLPMWHGESOUXBT,0.115385,0.884615
0.9,128,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,0,0,0.765,15.178933,0.668877,0.635992,VINKYFDZICRAQLPMWHGESOUXET,0.076923,0.923077
1.0,128,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,0,0,0.85,16.0,0.63662,0.603355,VINKYFOZICRAGLPMWHGESOUXBST,0.153846,0.846154
0.1,2048,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,0,0,0.085,5.059644,0.959381,1.907975,VINKYTOZICRQQLPMIWHGCSOLABT,0.307692,0.692308
0.2,2048,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,0,0,0.17,7.155418,0.919759,1.349142,VINKYFOZICRAOLEMWHGESOUXET,0.192308,0.807692
0.3,2048,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,0,0,0.255,8.763561,0.881116,1.10157,VINKYFDZCRAQLEMWHGESOUXBT,0.115385,0.884615
0.4,2048,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,0,0,0.34,10.119289,0.843436,0.953987,VINKYFDZICRAQLPEMWHGESOUXET,0.115385,0.884615
0.5,2048,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,0,0,0.425,11.313708,0.8067,0.853272,VINKYFOZICRAQLEMWHGESOUXET,0.153846,0.846154
0.6,2048,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,0,0,0.51,12.393547,0.770893,0.778927,VINKYFOZICRAQLPMWHGESOUXET,0.115385,0.884615
0.7,2048,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,0,0,0.595,13.38656,0.735998,0.721147,VINKYFOZICRAQLPMWHGESOUXBT,0.076923,0.923077
0.8,2048,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,0,0,0.68,14.310835,0.701998,0.674571,VINKYFOZICRAQLPMWHGESOUXBET,0.115385,0.884615
0.9,2048,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,0,0,0.765,15.178933,0.668877,0.635992,VINKYFOZICRAQLPMWHGESOUXBET,0.115385,0.884615
1.0,2048,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,0,0,0.85,16.0,0.63662,0.603355,VINKYFDZICRAQGLPMWHGESOUXBET,0.115385,0.884615
0.1,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,15,0,0.085,5.059644,0.959381,1.907975,,1.0,0.0
0.2,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,15,0,0.17,7.155418,0.919759,1.349142,CASTRNETEGOPAIENEE,0.923077,0.076923
0.3,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,15,0,0.255,8.763561,0.881116,1.10157,,1.0,0.0
0.4,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,15,0,0.34,10.119289,0.843436,0.953987,AIORIEDTLPRMNE,0.846154,0.153846
0.5,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,15,0,0.425,11.313708,0.8067,0.853272,INKEFOTRAALSMHOESCONES,0.615385,0.384615
0.6,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,15,0,0.51,12.393547,0.770893,0.778927,,1.0,0.0
0.7,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,15,0,0.595,13.38656,0.735998,0.721147,MAKTPGZSRALMMSESCORET,0.653846,0.346154
0.8,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,15,0,0.68,14.310835,0.701998,0.674571,,1.0,0.0
0.9,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,15,0,0.765,15.178933,0.668877,0.635992,,1.0,0.0
1.0,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,15,0,0.85,16.0,0.63662,0.603355,,1.0,0.0
0.1,128,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,15,0,0.085,5.059644,0.959381,1.907975,,1.0,0.0
0.2,128,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,15,0,0.17,7.155418,0.919759,1.349142,WINKITDZICRAGLPMWHDESOURET,0.307692,0.692308
0.3,128,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,15,0,0.255,8.763561,0.881116,1.10157,WINKYFDZICAAQLEMNHCESOWNET,0.346154,0.653846
0.4,128,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,15,0,0.34,10.119289,0.843436,0.953987,WINKYFDZICRAGLEMWHCESOUNET,0.269231,0.730769
0.5,128,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,15,0,0.425,11.313708,0.8067,0.853272,WINKYFDZICRAQLPMWHGESOUXET,0.115385,0.884615
0.6,128,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,15,0,0.51,12.393547,0.770893,0.778927,VINKYFDZICRAGLPMWHGESOUXBT,0.076923,0.923077
0.7,128,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,15,0,0.595,13.38656,0.735998,0.721147,VINKYFDZICRAQLEMWHGESOUXBT,0.076923,0.923077
0.8,128,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,15,0,0.68,14.310835,0.701998,0.674571,VINKYFDZICRAGLPMWHGESOUXBT,0.076923,0.923077
0.9,128,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,15,0,0.765,15.178933,0.668877,0.635992,VINKYFDZICRAGLEMWHGESOUXBT,0.115385,0.884615
1.0,128,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,15,0,0.85,16.0,0.63662,0.603355,VINKYEDZICROOLPMWHGESOUXET,0.192308,0.807692
0.1,2048,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,15,0,0.085,5.059644,0.959381,1.907975,VINKTOZICMAQLEMWHCESOUABT,0.307692,0.692308
0.2,2048,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,15,0,0.17,7.155418,0.919759,1.349142,VINKYPDOZICRAOQLEMWHGESOUXBT,0.192308,0.807692
0.3,2048,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,15,0,0.255,8.763561,0.881116,1.10157,VINKYFOZICRAQLEMWHGESOUNBT,0.153846,0.846154
0.4,2048,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,15,0,0.34,10.119289,0.843436,0.953987,VINKYFDZICRAQLEMWHGESOUXET,0.115385,0.884615
0.5,2048,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,15,0,0.425,11.313708,0.8067,0.853272,VINKYFDZICRAQLPMWHGESOUXBT,0.038462,0.961538
0.6,2048,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,15,0,0.51,12.393547,0.770893,0.778927,VINKYFDZICRAQLEMWHGESOUXBT,0.076923,0.923077
0.7,2048,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,15,0,0.595,13.38656,0.735998,0.721147,VINKYFDZICRAQLPMWHGESOUXBT,0.038462,0.961538
0.8,2048,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,15,0,0.68,14.310835,0.701998,0.674571,VINKYFDZICRAQLPMWHGESOUXBT,0.038462,0.961538
0.9,2048,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,15,0,0.765,15.178933,0.668877,0.635992,VINKYFDZICRAQLPMWHGESOUXBT,0.038462,0.961538
1.0,2048,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,15,0,0.85,16.0,0.63662,0.603355,VINKYFDZICRAQLPMWHGESOUXBT,0.038462,0.961538
