rho,mu_p,char_height_px,mean_cer,mean_char_acc,n_eval,qe_total,mtf_nyquist,aperture_f50_cpp
0.1,8,4,1.0,0.0,16,0.085,0.959381,1.907975
0.1,8,6,1.0104166875,-0.0104166875,16,0.085,0.959381,1.907975
0.1,8,8,0.9895833125,0.0104166875,16,0.085,0.959381,1.907975
0.1,8,12,1.0,0.0,16,0.085,0.959381,1.907975
0.1,8,16,0.9895833125,0.0104166875,16,0.085,0.959381,1.907975
0.1,32,4,0.9791666875,0.0208333125,16,0.085,0.959381,1.907975
0.1,32,6,0.9687499375,0.0312500625,16,0.085,0.959381,1.907975
0.1,32,8,0.9583333125,0.0416666875,16,0.085,0.959381,1.907975
0.1,32,12,0.9895833125,0.0104166875,16,0.085,0.959381,1.907975
0.1,32,16,0.9895833125,0.0104166875,16,0.085,0.959381,1.907975
0.1,128,4,0.9895833125,0.0104166875,16,0.085,0.959381,1.907975
0.1,128,6,1.0,0.0,16,0.085,0.959381,1.907975
0.1,128,8,0.7708334374999999,0.2291665625,16,0.085,0.959381,1.907975
0.1,128,12,0.6666666875,0.3333333125,16,0.085,0.959381,1.907975
0.1,128,16,0.864583375,0.135416625,16,0.085,0.959381,1.907975
0.1,512,4,0.979166625,0.020833375,16,0.085,0.959381,1.907975
0.1,512,6,0.6666667500000001,0.33333325,16,0.085,0.959381,1.907975
0.1,512,8,0.4791666875,0.5208333125,16,0.085,0.959381,1.907975
0.1,512,12,0.135416625,0.864583375,16,0.085,0.959381,1.907975
0.1,512,16,0.06250006250000001,0.9374999375,16,0.085,0.959381,1.907975
0.1,2048,4,0.9374999374999999,0.06250006250000001,16,0.085,0.959381,1.907975
0.1,2048,6,0.6145834375,0.3854165625,16,0.085,0.959381,1.907975
0.1,2048,8,0.44791681250000004,0.5520831875,16,0.085,0.959381,1.907975
0.1,2048,12,0.17708331249999998,0.8229166875,16,0.085,0.959381,1.907975
0.1,2048,16,0.09375,0.90625,16,0.085,0.959381,1.907975
0.2,8,4,0.979166625,0.020833375,16,0.17,0.919759,1.349142
0.2,8,6,1.0,0.0,16,0.17,0.919759,1.349142
0.2,8,8,0.979166625,0.020833375,16,0.17,0.919759,1.349142
0.2,8,12,1.010416625,-0.010416624999999999,16,0.17,0.919759,1.349142
0.2,8,16,0.9791666875,0.0208333125,16,0.17,0.919759,1.349142
0.2,32,4,1.0,0.0,16,0.17,0.919759,1.349142
0.2,32,6,0.947916625,0.052083375,16,0.17,0.919759,1.349142
0.2,32,8,0.8437499374999999,0.1562500625,16,0.17,0.919759,1.349142
0.2,32,12,0.8750000625000001,0.12499993749999999,16,0.17,0.919759,1.349142
0.2,32,16,1.0,0.0,16,0.17,0.919759,1.349142
0.2,128,4,1.0,0.0,16,0.17,0.919759,1.349142
0.2,128,6,0.9895833125,0.0104166875,16,0.17,0.919759,1.349142
0.2,128,8,0.7395834375,0.2604165625,16,0.17,0.919759,1.349142
0.2,128,12,0.385416625,0.614583375,16,0.17,0.919759,1.349142
0.2,128,16,0.114583375,0.885416625,16,0.17,0.919759,1.349142
0.2,512,4,0.937499875,0.062500125,16,0.17,0.919759,1.349142
0.2,512,6,0.5312500625000001,0.4687499375,16,0.17,0.919759,1.349142
0.2,512,8,0.4062500625,0.5937499375,16,0.17,0.919759,1.349142
0.2,512,12,0.145833375,0.854166625,16,0.17,0.919759,1.349142
0.2,512,16,0.1250000625,0.8749999374999999,16,0.17,0.919759,1.349142
0.2,2048,4,0.9479165625000001,0.0520834375,16,0.17,0.919759,1.349142
0.2,2048,6,0.5625000625000001,0.4374999375,16,0.17,0.919759,1.349142
0.2,2048,8,0.3125,0.6875,16,0.17,0.919759,1.349142
0.2,2048,12,0.1041666875,0.8958333125,16,0.17,0.919759,1.349142
0.2,2048,16,0.0833334375,0.9166665625,16,0.17,0.919759,1.349142
0.3,8,4,0.9895833125,0.0104166875,16,0.255,0.881116,1.10157
0.3,8,6,0.9895833125,0.0104166875,16,0.255,0.881116,1.10157
0.3,8,8,0.9687499375,0.0312500625,16,0.255,0.881116,1.10157
0.3,8,12,0.9895833125,0.0104166875,16,0.255,0.881116,1.10157
0.3,8,16,0.9895833125,0.0104166875,16,0.255,0.881116,1.10157
0.3,32,4,1.0,0.0,16,0.255,0.881116,1.10157
0.3,32,6,0.9479166875,0.0520833125,16,0.255,0.881116,1.10157
0.3,32,8,0.8125,0.1875,16,0.255,0.881116,1.10157
0.3,32,12,0.7395833749999999,0.26041662499999996,16,0.255,0.881116,1.10157
0.3,32,16,0.770833375,0.229166625,16,0.255,0.881116,1.10157
0.3,128,4,0.979166625,0.020833375,16,0.255,0.881116,1.10157
0.3,128,6,0.677083375,0.32291662499999996,16,0.255,0.881116,1.10157
0.3,128,8,0.416666625,0.583333375,16,0.255,0.881116,1.10157
0.3,128,12,0.0833333125,0.9166666875,16,0.255,0.881116,1.10157
0.3,128,16,0.177083375,0.822916625,16,0.255,0.881116,1.10157
