rho,mu_p,char_height_px,font_name,text,phase_x,phase_y,qe_total,aperture_width_px,mtf_nyquist,aperture_f50_cpp,ocr_text,cer,char_acc
0.1,8,4,arial.ttf,999NG7,0,0,0.085,5.059644,0.959381,1.907975,,1.0,0.0
0.2,8,4,arial.ttf,999NG7,0,0,0.17,7.155418,0.919759,1.349142,,1.0,0.0
0.3,8,4,arial.ttf,999NG7,0,0,0.255,8.763561,0.881116,1.10157,,1.0,0.0
0.4,8,4,arial.ttf,999NG7,0,0,0.34,10.119289,0.843436,0.953987,,1.0,0.0
0.5,8,4,arial.ttf,999NG7,0,0,0.425,11.313708,0.8067,0.853272,,1.0,0.0
0.6,8,4,arial.ttf,999NG7,0,0,0.51,12.393547,0.770893,0.778927,1,1.0,0.0
0.7,8,4,arial.ttf,999NG7,0,0,0.595,13.38656,0.735998,0.721147,,1.0,0.0
0.8,8,4,arial.ttf,999NG7,0,0,0.68,14.310835,0.701998,0.674571,,1.0,0.0
0.9,8,4,arial.ttf,999NG7,0,0,0.765,15.178933,0.668877,0.635992,,1.0,0.0
1.0,8,4,arial.ttf,999NG7,0,0,0.85,16.0,0.63662,0.603355,,1.0,0.0
0.1,32,4,arial.ttf,999NG7,0,0,0.085,5.059644,0.959381,1.907975,,1.0,0.0
0.2,32,4,arial.ttf,999NG7,0,0,0.17,7.155418,0.919759,1.349142,,1.0,0.0
0.3,32,4,arial.ttf,999NG7,0,0,0.255,8.763561,0.881116,1.10157,,1.0,0.0
0.4,32,4,arial.ttf,999NG7,0,0,0.34,10.119289,0.843436,0.953987,,1.0,0.0
0.5,32,4,arial.ttf,999NG7,0,0,0.425,11.313708,0.8067,0.853272,,1.0,0.0
0.6,32,4,arial.ttf,999NG7,0,0,0.51,12.393547,0.770893,0.778927,,1.0,0.0
0.7,32,4,arial.ttf,999NG7,0,0,0.595,13.38656,0.735998,0.721147,,1.0,0.0
0.8,32,4,arial.ttf,999NG7,0,0,0.68,14.310835,0.701998,0.674571,,1.0,0.0
0.9,32,4,arial.ttf,999NG7,0,0,0.765,15.178933,0.668877,0.635992,,1.0,0.0
1.0,32,4,arial.ttf,999NG7,0,0,0.85,16.0,0.63662,0.603355,,1.0,0.0
0.1,128,4,arial.ttf,999NG7,0,0,0.085,5.059644,0.959381,1.907975,,1.0,0.0
0.2,128,4,arial.ttf,999NG7,0,0,0.17,7.155418,0.919759,1.349142,,1.0,0.0
0.3,128,4,arial.ttf,999NG7,0,0,0.255,8.763561,0.881116,1.10157,,1.0,0.0
0.4,128,4,arial.ttf,999NG7,0,0,0.34,10.119289,0.843436,0.953987,ONT,0.833333,0.166667
0.5,128,4,arial.ttf,999NG7,0,0,0.425,11.313708,0.8067,0.853272,,1.0,0.0
0.6,128,4,arial.ttf,999NG7,0,0,0.51,12.393547,0.770893,0.778927,WG,0.833333,0.166667
0.7,128,4,arial.ttf,999NG7,0,0,0.595,13.38656,0.735998,0.721147,THRT,1.0,0.0
0.8,128,4,arial.ttf,999NG7,0,0,0.68,14.310835,0.701998,0.674571,,1.0,0.0
0.9,128,4,arial.ttf,999NG7,0,0,0.765,15.178933,0.668877,0.635992,,1.0,0.0
1.0,128,4,arial.ttf,999NG7,0,0,0.85,16.0,0.63662,0.603355,,1.0,0.0
0.1,512,4,arial.ttf,999NG7,0,0,0.085,5.059644,0.959381,1.907975,VERGT,0.833333,0.166667
0.2,512,4,arial.ttf,999NG7,0,0,0.17,7.155418,0.919759,1.349142,A,1.0,0.0
0.3,512,4,arial.ttf,999NG7,0,0,0.255,8.763561,0.881116,1.10157,SLAG,0.833333,0.166667
0.4,512,4,arial.ttf,999NG7,0,0,0.34,10.119289,0.843436,0.953987,HRT,1.0,0.0
0.5,512,4,arial.ttf,999NG7,0,0,0.425,11.313708,0.8067,0.853272,PHARM,1.0,0.0
0.6,512,4,arial.ttf,999NG7,0,0,0.51,12.393547,0.770893,0.778927,EAGT,0.833333,0.166667
0.7,512,4,arial.ttf,999NG7,0,0,0.595,13.38656,0.735998,0.721147,CONGT,0.666667,0.333333
0.8,512,4,arial.ttf,999NG7,0,0,0.68,14.310835,0.701998,0.674571,GT,0.833333,0.166667
0.9,512,4,arial.ttf,999NG7,0,0,0.765,15.178933,0.668877,0.635992,,1.0,0.0
1.0,512,4,arial.ttf,999NG7,0,0,0.85,16.0,0.63662,0.603355,TT,1.0,0.0
0.1,2048,4,arial.ttf,999NG7,0,0,0.085,5.059644,0.959381,1.907975,4LAGT,0.833333,0.166667
0.2,2048,4,arial.ttf,999NG7,0,0,0.17,7.155418,0.919759,1.349142,FLAGT,0.833333,0.166667
0.3,2048,4,arial.ttf,999NG7,0,0,0.255,8.763561,0.881116,1.10157,SAG,0.833333,0.166667
0.4,2048,4,arial.ttf,999NG7,0,0,0.34,10.119289,0.843436,0.953987,SGT,0.833333,0.166667
0.5,2048,4,arial.ttf,999NG7,0,0,0.425,11.313708,0.8067,0.853272,TAT,1.0,0.0
0.6,2048,4,arial.ttf,999NG7,0,0,0.51,12.393547,0.770893,0.778927,RT,1.0,0.0
0.7,2048,4,arial.ttf,999NG7,0,0,0.595,13.38656,0.735998,0.721147,THRTY,1.0,0.0
0.8,2048,4,arial.ttf,999NG7,0,0,0.68,14.310835,0.701998,0.674571,,1.0,0.0
0.9,2048,4,arial.ttf,999NG7,0,0,0.765,15.178933,0.668877,0.635992,Y,1.0,0.0
1.0,2048,4,arial.ttf,999NG7,0,0,0.85,16.0,0.63662,0.603355,20,1.0,0.0
0.1,8,4,arial.ttf,999NG7,0,15,0.085,5.059644,0.959381,1.907975,,1.0,0.0
0.2,8,4,arial.ttf,999NG7,0,15,0.17,7.155418,0.919759,1.349142,,1.0,0.0
0.3,8,4,arial.ttf,999NG7,0,15,0.255,8.763561,0.881116,1.10157,,1.0,0.0
0.4,8,4,arial.ttf,999NG7,0,15,0.34,10.119289,0.843436,0.953987,,1.0,0.0
0.5,8,4,arial.ttf,999NG7,0,15,0.425,11.313708,0.8067,0.853272,,1.0,0.0
0.6,8,4,arial.ttf,999NG7,0,15,0.51,12.393547,0.770893,0.778927,,1.0,0.0
0.7,8,4,arial.ttf,999NG7,0,15,0.595,13.38656,0.735998,0.721147,,1.0,0.0
0.8,8,4,arial.ttf,999NG7,0,15,0.68,14.310835,0.701998,0.674571,,1.0,0.0
0.9,8,4,arial.ttf,999NG7,0,15,0.765,15.178933,0.668877,0.635992,,1.0,0.0
1.0,8,4,arial.ttf,999NG7,0,15,0.85,16.0,0.63662,0.603355,RS,1.0,0.0
0.1,32,4,arial.ttf,999NG7,0,15,0.085,5.059644,0.959381,1.907975,,1.0,0.0
0.2,32,4,arial.ttf,999NG7,0,15,0.17,7.155418,0.919759,1.349142,,1.0,0.0
0.3,32,4,arial.ttf,999NG7,0,15,0.255,8.763561,0.881116,1.10157,,1.0,0.0
0.4,32,4,arial.ttf,999NG7,0,15,0.34,10.119289,0.843436,0.953987,,1.0,0.0
0.5,32,4,arial.ttf,999NG7,0,15,0.425,11.313708,0.8067,0.853272,TO,1.0,0.0
0.6,32,4,arial.ttf,999NG7,0,15,0.51,12.393547,0.770893,0.778927,,1.0,0.0
0.7,32,4,arial.ttf,999NG7,0,15,0.595,13.38656,0.735998,0.721147,,1.0,0.0
0.8,32,4,arial.ttf,999NG7,0,15,0.68,14.310835,0.701998,0.674571,,1.0,0.0
0.9,32,4,arial.ttf,999NG7,0,15,0.765,15.178933,0.668877,0.635992,,1.0,0.0
1.0,32,4,arial.ttf,999NG7,0,15,0.85,16.0,0.63662,0.603355,,1.0,0.0
