rho,mu_p,char_height_px,mean_cer,mean_char_acc,n_eval,qe_total,mtf_nyquist,aperture_f50_cpp
0.1,4,4,0.9799999399999999,0.02000006,50,0.085,0.959381,1.907975
0.1,16,4,0.94846148,0.05153852,50,0.085,0.959381,1.907975
0.1,64,4,0.9661537800000001,0.033846219999999996,50,0.085,0.959381,1.907975
0.1,256,4,0.9469230000000001,0.053077000000000006,50,0.085,0.959381,1.907975
0.1,1024,4,0.7861537800000002,0.21384622000000003,50,0.085,0.959381,1.907975
0.1,4096,4,0.7830769200000001,0.21692308000000005,50,0.085,0.959381,1.907975
0.1,16384,4,0.7699999,0.23000009999999999,50,0.085,0.959381,1.907975
0.1,65536,4,0.7707692199999999,0.22923078,50,0.085,0.959381,1.907975
0.2,4,4,0.9715383999999999,0.028461600000000004,50,0.17,0.919759,1.349142
0.2,16,4,0.94769222,0.052307780000000005,50,0.17,0.919759,1.349142
0.2,64,4,0.9723076600000001,0.027692340000000003,50,0.17,0.919759,1.349142
0.2,256,4,0.8299999200000001,0.17000008,50,0.17,0.919759,1.349142
0.2,1024,4,0.7676922400000001,0.23230776000000003,50,0.17,0.919759,1.349142
0.2,4096,4,0.7692307399999998,0.23076925999999998,50,0.17,0.919759,1.349142
0.2,16384,4,0.75999994,0.24000006,50,0.17,0.919759,1.349142
0.2,65536,4,0.75923078,0.24076922,50,0.17,0.919759,1.349142
0.3,4,4,0.95999996,0.04000004000000001,50,0.255,0.881116,1.10157
0.3,16,4,0.9407691800000001,0.059230819999999997,50,0.255,0.881116,1.10157
0.3,64,4,0.9807692,0.019230800000000003,50,0.255,0.881116,1.10157
0.3,256,4,0.78923074,0.21076926,50,0.255,0.881116,1.10157
0.3,1024,4,0.7423077,0.2576923,50,0.255,0.881116,1.10157
0.3,4096,4,0.7392307800000002,0.26076922,50,0.255,0.881116,1.10157
0.3,16384,4,0.7469230800000001,0.25307692,50,0.255,0.881116,1.10157
0.3,65536,4,0.7476923,0.2523077,50,0.255,0.881116,1.10157
0.4,4,4,0.9653845600000001,0.034615440000000004,50,0.34,0.843436,0.953987
0.4,16,4,0.95769224,0.04230776,50,0.34,0.843436,0.953987
0.4,64,4,0.9730768999999999,0.0269231,50,0.34,0.843436,0.953987
0.4,256,4,0.75153848,0.24846152000000005,50,0.34,0.843436,0.953987
0.4,1024,4,0.7300000400000001,0.26999996000000004,50,0.34,0.843436,0.953987
0.4,4096,4,0.7223077600000002,0.27769224000000003,50,0.34,0.843436,0.953987
0.4,16384,4,0.7238462200000001,0.27615378,50,0.34,0.843436,0.953987
