rho,mu_p,char_height_px,mean_cer,mean_char_acc,n_eval,qe_total,mtf_nyquist,aperture_f50_cpp
0.1,16384,1,0.9992307600000001,0.00076924,50,0.085,0.959381,1.907975
0.1,16384,2,0.9630767,0.0369233,50,0.085,0.959381,1.907975
0.1,16384,3,0.9053844199999997,0.09461558,50,0.085,0.959381,1.907975
0.1,16384,4,0.7753845800000001,0.22461542,50,0.085,0.959381,1.907975
0.2,16384,1,1.0,0.0,50,0.17,0.919759,1.349142
0.2,16384,2,0.9684613800000001,0.03153862,50,0.17,0.919759,1.349142
0.2,16384,3,0.8923074799999998,0.10769252,50,0.17,0.919759,1.349142
0.2,16384,4,0.7592307999999999,0.2407692,50,0.17,0.919759,1.349142
0.3,16384,1,0.99769228,0.0023077200000000005,50,0.255,0.881116,1.10157
0.3,16384,2,0.97461518,0.025384820000000002,50,0.255,0.881116,1.10157
0.3,16384,3,0.87230754,0.12769246,50,0.255,0.881116,1.10157
0.3,16384,4,0.75153848,0.24846152,50,0.255,0.881116,1.10157
0.4,16384,1,1.0,0.0,50,0.34,0.843436,0.953987
0.4,16384,2,0.9676921600000001,0.032307840000000004,50,0.34,0.843436,0.953987
0.4,16384,3,0.8676921999999999,0.1323078,50,0.34,0.843436,0.953987
0.4,16384,4,0.72384624,0.27615376,50,0.34,0.843436,0.953987
0.5,16384,1,1.0,0.0,50,0.425,0.8067,0.853272
0.5,16384,2,0.97769216,0.02230784,50,0.425,0.8067,0.853272
0.5,16384,3,0.8699998999999999,0.1300001,50,0.425,0.8067,0.853272
0.5,16384,4,0.6984616399999999,0.30153836,50,0.425,0.8067,0.853272
0.6,16384,1,1.0,0.0,50,0.51,0.770893,0.778927
0.6,16384,2,0.98307686,0.01692314,50,0.51,0.770893,0.778927
0.6,16384,3,0.8676921199999998,0.13230788,50,0.51,0.770893,0.778927
0.6,16384,4,0.66000004,0.33999995999999993,50,0.51,0.770893,0.778927
0.7,16384,1,1.0,0.0,50,0.595,0.735998,0.721147
0.7,16384,2,0.9876922400000001,0.012307760000000001,50,0.595,0.735998,0.721147
0.7,16384,3,0.9007691800000001,0.09923082000000001,50,0.595,0.735998,0.721147
0.7,16384,4,0.62538468,0.37461532,50,0.595,0.735998,0.721147
0.8,16384,1,1.0,0.0,50,0.68,0.701998,0.674571
0.8,16384,2,0.98769226,0.012307740000000001,50,0.68,0.701998,0.674571
0.8,16384,3,0.8999999599999999,0.10000004000000001,50,0.68,0.701998,0.674571
0.8,16384,4,0.57461542,0.42538458,50,0.68,0.701998,0.674571
0.9,16384,1,1.0,0.0,50,0.765,0.668877,0.635992
0.9,16384,2,0.9953845800000001,0.00461542,50,0.765,0.668877,0.635992
0.9,16384,3,0.9284614600000001,0.07153854,50,0.765,0.668877,0.635992
0.9,16384,4,0.53076926,0.46923074,50,0.765,0.668877,0.635992
1.0,16384,1,1.0,0.0,50,0.85,0.63662,0.603355
1.0,16384,2,0.9938461000000001,0.006153900000000001,50,0.85,0.63662,0.603355
1.0,16384,3,0.9215383,0.0784617,50,0.85,0.63662,0.603355
1.0,16384,4,0.5123076599999999,0.48769233999999995,50,0.85,0.63662,0.603355
