base_mu_p,rho,char_height_px,n_pairs,paired_cov_char_acc,paired_corr_char_acc,paired_mean_delta,paired_std_delta,paired_win_rate,paired_tie_rate
4,0.1,8,50,-0.00017840709432000003,-0.05018585433697768,-0.0030302999999999992,0.0864175100225643,0.46,0.2
4,0.2,8,50,0.0008538053799600002,0.276483423816156,-0.006666659999999998,0.06686588590439821,0.3,0.28
4,0.3,8,50,-0.00017578346058000008,-0.06389932748581131,-0.0060606,0.07671007543993162,0.42,0.22
4,0.4,8,50,0.00020014577387999997,0.06888249622609299,0.011515140000000002,0.0736922454331526,0.44,0.26
4,0.5,8,50,0.00020764187027999995,0.0905959346779348,-0.0030302999999999992,0.0645732423105732,0.38,0.28
4,0.6,8,50,-0.00024287352335999987,-0.12432101324514887,-0.00424242,0.06650617776432502,0.34,0.28
4,0.7,8,50,-6.409162421999998e-05,-0.03273121980441389,-0.0181818,0.06362304657905027,0.34,0.22
4,0.8,8,50,-0.00015854243886000003,-0.06057503783606786,0.016969679999999997,0.07451918016940337,0.48,0.2
4,0.9,8,50,0.00013567934484000005,0.062205792133564114,-0.01333332,0.06396381332534827,0.32,0.2
4,1.0,8,50,-0.0003980427188399998,-0.11607004904704893,-0.023636340000000002,0.08750364374001805,0.3,0.2
5,0.1,8,50,-0.0007754711725800003,-0.21214124606869708,-0.010909080000000002,0.09420126813541313,0.34,0.18
5,0.2,8,50,-0.0006064341987599999,-0.18911133737825336,0.019999980000000004,0.08735788997005366,0.46,0.24
5,0.3,8,50,0.00032608019339999976,0.12206274208639364,-0.005454539999999999,0.07209832209268119,0.44,0.18
5,0.4,8,50,0.00020276940762000003,0.0724934206190941,9.71445146547012e-19,0.07217885423030765,0.38,0.28
5,0.5,8,50,-0.0007627278087000002,-0.34241249869769347,-0.01454544,0.07773900512406884,0.3,0.28
5,0.6,8,50,0.00014467466051999996,0.04985694798033673,-0.007878779999999998,0.07567953788455635,0.32,0.28
5,0.7,8,50,-7.4960964e-05,-0.03502073841753285,0.014545440000000003,0.06657095606704173,0.44,0.26
5,0.8,8,50,-9.819886284000009e-05,-0.02262968467430069,-0.005454540000000001,0.09556996734633741,0.38,0.2
5,0.9,8,50,-0.00036131184648000004,-0.08598209445406799,0.007878780000000004,0.09559349515746351,0.46,0.12
5,1.0,8,50,-0.0012031234721999993,-0.20128315544377692,-0.001818180000000002,0.11987656820087902,0.36,0.12
6,0.1,8,50,0.00040853725380000016,0.11142817974466823,-0.01393938,0.08080516548600096,0.3,0.2
