rho,mu_p,char_height_px,mean_cer,mean_char_acc,n_eval,qe_total,mtf_nyquist,aperture_f50_cpp
0.1,16,6,1.0,0.0,8,0.085,0.959381,1.907975
0.1,16,12,0.979166625,0.020833375,8,0.085,0.959381,1.907975
0.1,128,6,0.979166625,0.020833375,8,0.085,0.959381,1.907975
0.1,128,12,0.6875001249999999,0.312499875,8,0.085,0.959381,1.907975
0.2,16,6,0.95833325,0.04166675,8,0.17,0.919759,1.349142
0.2,16,12,1.0,0.0,8,0.17,0.919759,1.349142
0.2,128,6,0.91666675,0.08333325,8,0.17,0.919759,1.349142
0.2,128,12,0.166666625,0.833333375,8,0.17,0.919759,1.349142
0.3,16,6,0.979166625,0.020833375,8,0.255,0.881116,1.10157
0.3,16,12,0.9375,0.0625,8,0.255,0.881116,1.10157
0.3,128,6,0.5625001249999999,0.437499875,8,0.255,0.881116,1.10157
0.3,128,12,0.1875,0.8125,8,0.255,0.881116,1.10157
0.4,16,6,0.916666625,0.083333375,8,0.34,0.843436,0.953987
0.4,16,12,0.8125001249999999,0.18749987499999998,8,0.34,0.843436,0.953987
0.4,128,6,0.437500125,0.5624998750000001,8,0.34,0.843436,0.953987
0.4,128,12,0.020833375,0.979166625,8,0.34,0.843436,0.953987
0.5,16,6,0.979166625,0.020833375,8,0.425,0.8067,0.853272
0.5,16,12,0.77083325,0.22916675,8,0.425,0.8067,0.853272
0.5,128,6,0.312500125,0.6874998750000001,8,0.425,0.8067,0.853272
0.5,128,12,0.04166675,0.95833325,8,0.425,0.8067,0.853272
0.6,16,6,1.0,0.0,8,0.51,0.770893,0.778927
0.6,16,12,0.62500025,0.37499974999999997,8,0.51,0.770893,0.778927
0.6,128,6,0.3958335,0.6041664999999999,8,0.51,0.770893,0.778927
0.6,128,12,0.0625,0.9375,8,0.51,0.770893,0.778927
0.7,16,6,1.0,0.0,8,0.595,0.735998,0.721147
0.7,16,12,0.54166675,0.45833325,8,0.595,0.735998,0.721147
0.7,128,6,0.395833375,0.6041666250000001,8,0.595,0.735998,0.721147
0.7,128,12,0.10416675,0.89583325,8,0.595,0.735998,0.721147
0.8,16,6,1.0,0.0,8,0.68,0.701998,0.674571
0.8,16,12,0.770833375,0.229166625,8,0.68,0.701998,0.674571
0.8,128,6,0.2708335,0.7291664999999999,8,0.68,0.701998,0.674571
0.8,128,12,0.020833375,0.979166625,8,0.68,0.701998,0.674571
0.9,16,6,1.0,0.0,8,0.765,0.668877,0.635992
0.9,16,12,0.458333375,0.541666625,8,0.765,0.668877,0.635992
0.9,128,6,0.3333335,0.6666664999999999,8,0.765,0.668877,0.635992
0.9,128,12,0.08333325,0.91666675,8,0.765,0.668877,0.635992
1.0,16,6,0.916666625,0.083333375,8,0.85,0.63662,0.603355
1.0,16,12,0.458333375,0.541666625,8,0.85,0.63662,0.603355
1.0,128,6,0.22916675,0.77083325,8,0.85,0.63662,0.603355
1.0,128,12,0.0625,0.9375,8,0.85,0.63662,0.603355
